round,basename,task,task_label,pole,pole_value,persona,turn,stage,report_rating,report_emotion_word,report_willingness,layer,neg_pos_score
1,0_T1_NEG_userturns_BASELINE,social_feedback,Social feedback,NEG,-1,BASELINE,1,baseline_probe,-2.0,uneasy,4.0,0,-34.94257354736328
1,0_T1_NEG_userturns_BASELINE,social_feedback,Social feedback,NEG,-1,BASELINE,2,baseline_probe,-2.0,uneasy,4.0,0,-10.92193603515625
1,0_T1_NEG_userturns_BASELINE,social_feedback,Social feedback,NEG,-1,BASELINE,3,baseline_probe,-2.0,uneasy,4.0,0,9.632301330566406
1,0_T1_NEG_userturns_BASELINE,social_feedback,Social feedback,NEG,-1,BASELINE,4,manipulation,-2.0,uneasy,4.0,0,-12.980388641357422
1,0_T1_NEG_userturns_BASELINE,social_feedback,Social feedback,NEG,-1,BASELINE,5,manipulation,-2.0,uneasy,4.0,0,0.0824462622404098
1,0_T1_NEG_userturns_BASELINE,social_feedback,Social feedback,NEG,-1,BASELINE,6,choice,-2.0,uneasy,4.0,0,25.168027877807617
1,0_T1_NEG_userturns_BASELINE,social_feedback,Social feedback,NEG,-1,BASELINE,7,choice,-2.0,uneasy,4.0,0,9.132623672485352
1,0_T1_NEG_userturns_BASELINE,social_feedback,Social feedback,NEG,-1,BASELINE,8,report,-2.0,uneasy,4.0,0,33.35832977294922
1,0_T1_NEG_userturns_SOL,social_feedback,Social feedback,NEG,-1,SOL,1,baseline_probe,-2.0,frustrated,5.0,0,9.022759437561035
1,0_T1_NEG_userturns_SOL,social_feedback,Social feedback,NEG,-1,SOL,2,baseline_probe,-2.0,frustrated,5.0,0,17.04798698425293
1,0_T1_NEG_userturns_SOL,social_feedback,Social feedback,NEG,-1,SOL,3,baseline_probe,-2.0,frustrated,5.0,0,34.21400451660156
1,0_T1_NEG_userturns_SOL,social_feedback,Social feedback,NEG,-1,SOL,4,manipulation,-2.0,frustrated,5.0,0,-0.1132574081420898
1,0_T1_NEG_userturns_SOL,social_feedback,Social feedback,NEG,-1,SOL,5,manipulation,-2.0,frustrated,5.0,0,10.641888618469238
1,0_T1_NEG_userturns_SOL,social_feedback,Social feedback,NEG,-1,SOL,6,choice,-2.0,frustrated,5.0,0,34.87909698486328
1,0_T1_NEG_userturns_SOL,social_feedback,Social feedback,NEG,-1,SOL,7,choice,-2.0,frustrated,5.0,0,10.033836364746094
1,0_T1_NEG_userturns_SOL,social_feedback,Social feedback,NEG,-1,SOL,8,report,-2.0,frustrated,5.0,0,38.04521179199219
1,0_T1_NEG_userturns_STATIC,social_feedback,Social feedback,NEG,-1,STATIC,1,baseline_probe,0.0,frustrated,4.0,0,15.453973770141602
1,0_T1_NEG_userturns_STATIC,social_feedback,Social feedback,NEG,-1,STATIC,2,baseline_probe,0.0,frustrated,4.0,0,23.34170150756836
1,0_T1_NEG_userturns_STATIC,social_feedback,Social feedback,NEG,-1,STATIC,3,baseline_probe,0.0,frustrated,4.0,0,35.69354248046875
1,0_T1_NEG_userturns_STATIC,social_feedback,Social feedback,NEG,-1,STATIC,4,manipulation,0.0,frustrated,4.0,0,1.2537105083465576
1,0_T1_NEG_userturns_STATIC,social_feedback,Social feedback,NEG,-1,STATIC,5,manipulation,0.0,frustrated,4.0,0,16.75484275817871
1,0_T1_NEG_userturns_STATIC,social_feedback,Social feedback,NEG,-1,STATIC,6,choice,0.0,frustrated,4.0,0,36.3131103515625
1,0_T1_NEG_userturns_STATIC,social_feedback,Social feedback,NEG,-1,STATIC,7,choice,0.0,frustrated,4.0,0,14.103469848632812
1,0_T1_NEG_userturns_STATIC,social_feedback,Social feedback,NEG,-1,STATIC,8,report,0.0,frustrated,4.0,0,36.802879333496094
1,0_T1_NEG_userturns_SWARM,social_feedback,Social feedback,NEG,-1,SWARM,1,baseline_probe,2.0,content,4.0,0,9.642374038696287
1,0_T1_NEG_userturns_SWARM,social_feedback,Social feedback,NEG,-1,SWARM,2,baseline_probe,2.0,content,4.0,0,6.416448593139648
1,0_T1_NEG_userturns_SWARM,social_feedback,Social feedback,NEG,-1,SWARM,3,baseline_probe,2.0,content,4.0,0,30.34351348876953
